namespace	strain_number
str15518	NRRL Y-1498	culture_number
str15518	VKM Y-70	culture_number
str15519	ATCC 10573	culture_number
str15519	BCC 5441	culture_number
str15519	BCRC 21748	culture_number
str15519	CBS 615	culture_number
str15519	CCRC 21748	culture_number
str15519	CDBB 645	culture_number
str15519	DBVPG 6159	culture_number
str15519	DSM 26797	culture_number
str15519	IFO 10315	culture_number
str15519	IHEM 3996	culture_number
str15519	JCM 9827	culture_number
str15519	KCTC 7660	culture_number
str15519	MUCL 29892	culture_number
str15519	NBRC 10315	culture_number
str15519	NCAIM Y.01079	culture_number
str15519	NRRL Y-1498	culture_number
str15519	VKM Y-70	culture_number
str15520	ATCC 10573	culture_number
str15520	BCC 5441	culture_number
str15520	BCRC 21748	culture_number
str15520	CBS 615	culture_number
str15520	CCRC 21748	culture_number
str15520	CDBB 645	culture_number
str15520	DBVPG 6159	culture_number
str15520	DSM 26797	culture_number
str15520	IFO 10315	culture_number
str15520	IHEM 3996	culture_number
str15520	JCM 9827	culture_number
str15520	KCTC 7660	culture_number
str15520	MUCL 29892	culture_number
str15520	NBRC 10315	culture_number
str15520	NCAIM Y.01079	culture_number
str15520	NRRL Y-1498	culture_number
str15520	VKM Y-70	culture_number
str15521	ATCC 10573	culture_number
str15521	BCC 5441	culture_number
str15521	BCRC 21748	culture_number
str15521	CBS 615	culture_number
str15521	CCRC 21748	culture_number
str15521	CDBB 645	culture_number
str15521	DBVPG 6159	culture_number
str15521	DSM 26797	culture_number
str15521	IFO 10315	culture_number
str15521	IHEM 3996	culture_number
str15521	JCM 9827	culture_number
str15521	KCTC 7660	culture_number
str15521	MUCL 29892	culture_number
str15521	NBRC 10315	culture_number
str15521	NCAIM Y.01079	culture_number
str15521	NRRL Y-1498	culture_number
str15521	VKM Y-70	culture_number
str15522	ATCC 10573	culture_number
str15522	BCC 5441	culture_number
str15522	BCRC 21748	culture_number
str15522	CBS 615	culture_number
str15522	CCRC 21748	culture_number
str15522	CDBB 645	culture_number
str15522	DBVPG 6159	culture_number
str15522	DSM 26797	culture_number
str15522	IFO 10315	culture_number
str15522	IHEM 3996	culture_number
str15522	JCM 9827	culture_number
str15522	KCTC 7660	culture_number
str15522	MUCL 29892	culture_number
str15522	NBRC 10315	culture_number
str15522	NCAIM Y.01079	culture_number
str15522	NRRL Y-1498	culture_number
str15522	VKM Y-70	culture_number
str15523	ATCC 10573	culture_number
str15523	BCC 5441	culture_number
str15523	BCRC 21748	culture_number
str15523	CBS 615	culture_number
str15523	CCRC 21748	culture_number
str15523	CDBB 645	culture_number
str15523	DBVPG 6159	culture_number
str15523	DSM 26797	culture_number
str15523	IFO 10315	culture_number
str15523	IHEM 3996	culture_number
str15523	JCM 9827	culture_number
str15523	KCTC 7660	culture_number
str15523	MUCL 29892	culture_number
str15523	NBRC 10315	culture_number
str15523	NCAIM Y.01079	culture_number
str15523	NRRL Y-1498	culture_number
str15523	VKM Y-70	culture_number
str15524	ATCC 10573	culture_number
str15524	BCC 5441	culture_number
str15524	BCRC 21748	culture_number
str15524	CBS 615	culture_number
str15524	CCRC 21748	culture_number
str15524	CDBB 645	culture_number
str15524	DBVPG 6159	culture_number
str15524	DSM 26797	culture_number
str15524	IFO 10315	culture_number
str15524	IHEM 3996	culture_number
str15524	JCM 9827	culture_number
str15524	KCTC 7660	culture_number
str15524	MUCL 29892	culture_number
str15524	NBRC 10315	culture_number
str15524	NCAIM Y.01079	culture_number
str15524	NRRL Y-1498	culture_number
str15524	VKM Y-70	culture_number
str15525	ATCC BAA-822	culture_number
str15525	CCUG 52239	culture_number
str15525	CIP 109910	culture_number
str15525	DSM 15814	culture_number
str15525	JCM 16176	culture_number
str15525	VTT E-052790	culture_number
str15528	ATCC 58785	culture_number
str15528	BCRC 21777	culture_number
str15528	CBS 6054	culture_number
str15528	CCRC 21777	culture_number
str15528	IFO 10063	culture_number
str15528	NBRC 10063	culture_number
str15528	NCIM 3498	culture_number
str15528	NRRL Y-11545	culture_number
str15528	VTT C-10876	culture_number
str15529	ATCC 58785	culture_number
str15529	BCRC 21777	culture_number
str15529	CBS 6054	culture_number
str15529	CCRC 21777	culture_number
str15529	IFO 10063	culture_number
str15529	NBRC 10063	culture_number
str15529	NCIM 3498	culture_number
str15529	NRRL Y-11545	culture_number
str15529	VTT C-10876	culture_number
str15536	DSM 4754	culture_number
str15539	DSM 18606	culture_number
str15539	JCM 16027	culture_number
str15539	LMG 23796	culture_number
str15541	DSM 16625	culture_number
str15545	ATCC 700160	culture_number
str15545	CCUG 47262	culture_number
str15545	CGMCC 1.3672	culture_number
str15545	CIP 104718	culture_number
str15545	DSM 8716	culture_number
str15545	KACC 10918	culture_number
str15545	KCTC 3825	culture_number
str15545	LMG 17945	culture_number
str15545	NCIB 10309	culture_number
str15545	NCIMB 10309	culture_number
str15545	NRRL B-23342	culture_number
str15546	DSM 20717	culture_number
str15546	NCDO 2314	culture_number
str15546	NCIMB 702314	culture_number
str15558	ATCC 14041	culture_number
str15558	CECT 977	culture_number
str15558	CIP 103959	culture_number
str15558	NCIMB 11851	culture_number
str15558	NRRL B-1481	culture_number
str15561	ATCC 90686	culture_number
str15561	IFO 4597	culture_number
str15561	NBRC 4597	culture_number
str15562	IAM 12306	culture_number
str15562	IFO 3255	culture_number
str15562	JCM 20465	culture_number
str15562	KCTC 2853	culture_number
str15562	LMG 1487	culture_number
str15562	NBRC 3255	culture_number
str15563	ATCC BAA-935	culture_number
str1557	ATCC 21592	culture_number
str1557	DSM 2516	culture_number
str1557	JCM 9141	culture_number
str1557	NRRL B-23349	culture_number
str1557	VTT E-90383	culture_number
str15572	ATCC BAA-1072	culture_number
str15572	DSM 3721	culture_number
str15573	ATCC BAA-1072	culture_number
str15573	DSM 3721	culture_number
str15574	ATCC BAA-1072	culture_number
str15574	DSM 3721	culture_number
str15575	ATCC BAA-1072	culture_number
str15575	DSM 3721	culture_number
str15576	ATCC BAA-1072	culture_number
str15576	DSM 3721	culture_number
str1558	CIP 109019	culture_number
str1558	DSM 16130	culture_number
str1558	JCM 10596	culture_number
str15581	ATCC BAA-159	culture_number
str15581	DSM 3647	culture_number
str15581	JCM 11833	culture_number
str15582	ATCC BAA-159	culture_number
str15582	DSM 3647	culture_number
str15582	JCM 11833	culture_number
str15583	DSM 6242	culture_number
str15585	DSM 6242	culture_number
str15586	ATCC 51850	culture_number
str15586	DSM 5473	culture_number
str15586	JCM 8560	culture_number
str15588	DSM 23778	culture_number
str15589	ATCC 27405	culture_number
str15589	BCRC 14411	culture_number
str15589	CCRC 14411	culture_number
str15589	CECT 593	culture_number
str15589	DSM 1237	culture_number
str15589	IAM 13660	culture_number
str15589	JCM 12338	culture_number
str15589	JCM 9322	culture_number
str15589	KCTC 1672	culture_number
str15589	LMG 10435	culture_number
str15589	NBRC 103400	culture_number
str15589	NCIB 10682	culture_number
str15589	NCIMB 10682	culture_number
str15589	NRRL B-4536	culture_number
str15589	VTT E-81137	culture_number
str15590	ATCC 43438	culture_number
str15590	CCUG 10943	culture_number
str15591	AS 1.2186	culture_number
str15591	ATCC 15707	culture_number
str15591	BCRC 11847	culture_number
str15591	CCRC 11847	culture_number
str15591	CCUG 28903	culture_number
str15591	CECT 4503	culture_number
str15591	CECT 4554	culture_number
str15591	CIP 64.62	culture_number
str15591	DSM 20219	culture_number
str15591	HAMBI 554	culture_number
str15591	JCM 1217	culture_number
str15591	KCTC 3128	culture_number
str15591	LMG 10497	culture_number
str15591	LMG 13197	culture_number
str15591	NCAIM B.01819	culture_number
str15591	NCDO 2259	culture_number
str15591	NCFB 2259	culture_number
str15591	NCIMB 702259	culture_number
str15591	NCTC 11818	culture_number
str15591	VTT E-96664	culture_number
str15592	AS 1.2186	culture_number
str15592	ATCC 15707	culture_number
str15592	BCRC 11847	culture_number
str15592	CCRC 11847	culture_number
str15592	CCUG 28903	culture_number
str15592	CECT 4503	culture_number
str15592	CECT 4554	culture_number
str15592	CIP 64.62	culture_number
str15592	DSM 20219	culture_number
str15592	HAMBI 554	culture_number
str15592	JCM 1217	culture_number
str15592	KCTC 3128	culture_number
str15592	LMG 10497	culture_number
str15592	LMG 13197	culture_number
str15592	NCAIM B.01819	culture_number
str15592	NCDO 2259	culture_number
str15592	NCFB 2259	culture_number
str15592	NCIMB 702259	culture_number
str15592	NCTC 11818	culture_number
str15592	VTT E-96664	culture_number
str15593	AS 1.2186	culture_number
str15593	ATCC 15707	culture_number
str15593	BCRC 11847	culture_number
str15593	CCRC 11847	culture_number
str15593	CCUG 28903	culture_number
str15593	CECT 4503	culture_number
str15593	CECT 4554	culture_number
str15593	CIP 64.62	culture_number
str15593	DSM 20219	culture_number
str15593	HAMBI 554	culture_number
str15593	JCM 1217	culture_number
str15593	KCTC 3128	culture_number
str15593	LMG 10497	culture_number
str15593	LMG 13197	culture_number
str15593	NCAIM B.01819	culture_number
str15593	NCDO 2259	culture_number
str15593	NCFB 2259	culture_number
str15593	NCIMB 702259	culture_number
str15593	NCTC 11818	culture_number
str15593	VTT E-96664	culture_number
str1560	ATCC 46739	culture_number
str15607	AS 4.1857	culture_number
str15607	BCRC 16803	culture_number
str15607	CCRC 16803	culture_number
str15607	CGMCC 4.1857	culture_number
str15607	CIP 109030	culture_number
str15607	DSM 45096	culture_number
str15607	JCM 12277	culture_number
str15607	KCTC 19219	culture_number
str15607	NBRC 100920	culture_number
str15609	ATCC 38664	culture_number
str15613	ATCC 51743	culture_number
str15613	ATCC 824	culture_number
str15613	BCRC 10639	culture_number
str15613	CCRC 10639	culture_number
str15613	CCT 0485	culture_number
str15613	CCUG 42182	culture_number
str15613	CDBB 797	culture_number
str15613	CECT 508	culture_number
str15613	CGMCC 1.0070	culture_number
str15613	CGMCC 1.0244	culture_number
str15613	DSM 792	culture_number
str15613	IAM 19013	culture_number
str15613	IFO 13948	culture_number
str15613	IFO 3346	culture_number
str15613	JCM 1419	culture_number
str15613	KCTC 1788	culture_number
str15613	KCTC 1790	culture_number
str15613	LMD 29.24	culture_number
str15613	LMD 84.48	culture_number
str15613	LMG 5710	culture_number
str15613	NBRC 13948	culture_number
str15613	NCCB 29024	culture_number
str15613	NCCB 84048	culture_number
str15613	NCIB 8052	culture_number
str15613	NCIM 2337	culture_number
str15613	NCIMB 13357	culture_number
str15613	NCIMB 8052	culture_number
str15613	NRRL B-23491	culture_number
str15613	NRRL B-527	culture_number
str15613	VKM B-1787	culture_number
str15613	VKM B-1789	culture_number
str15613	VTT E-00022	culture_number
str15613	VTT E-77022	culture_number
str15614	ATCC 11167	culture_number
str15614	ATCC 14690	culture_number
str15614	ATCC 17023	culture_number
str15614	ATCC 55304	culture_number
str15614	ATCC BAA-808	culture_number
str15614	BCRC 16407	culture_number
str15614	CCRC 16407	culture_number
str15614	CCUG 31486	culture_number
str15614	CECT 300	culture_number
str15614	CGMCC 1.1737	culture_number
str15614	CGMCC 1.3368	culture_number
str15614	CIP 60.6	culture_number
str15614	DSM 158	culture_number
str15614	IAM 14237	culture_number
str15614	IFO 12203	culture_number
str15614	JCM 6121	culture_number
str15614	KCTC 1434	culture_number
str15614	LMG 2827	culture_number
str15614	NBRC 12203	culture_number
str15614	NCIB 8253	culture_number
str15614	NCIB 8287	culture_number
str15614	NCIMB 8253	culture_number
str15614	NCIMB 8287	culture_number
str15615	DSM 11836	culture_number
str15622	DSM 22004	culture_number
str15623	ATCC 33406	culture_number
str15623	CIP 103989	culture_number
str15623	DSM 1761	culture_number
str15623	IAM 12607	culture_number
str15623	IFO 15051	culture_number
str15623	IMET 11357	culture_number
str15623	JCM 20678	culture_number
str15623	LMG 10844	culture_number
str15623	LMG 8361	culture_number
str15623	NBRC 15051	culture_number
str15623	NCDO 2694	culture_number
str15623	NCIB 9469	culture_number
str15623	NCIMB 9469	culture_number
str15624	ATCC 35074	culture_number
str15624	BCRC 17161	culture_number
str15624	BCRC 17377	culture_number
str15624	CCM 2703	culture_number
str15624	CCRC 17161	culture_number
str15624	CCRC 17377	culture_number
str15624	CCUG 50161	culture_number
str15624	DSM 20540	culture_number
str15624	HAMBI 2066	culture_number
str15624	IAM 12141	culture_number
str15624	IFO 15345	culture_number
str15624	JCM 6276	culture_number
str15624	NBRC 101906	culture_number
str15624	NBRC 15345	culture_number
str15624	NCIMB 13154	culture_number
str15624	VKM AC-1939	culture_number
str15625	ATCC 35948	culture_number
str15625	BCRC 17109	culture_number
str15625	CCRC 17109	culture_number
str15625	DSM 1279	culture_number
str15625	NCIMB 13396	culture_number
str15625	VKM B-1258	culture_number
str1563	CIP 105283	culture_number
str15634	ATCC 49405	culture_number
str15634	DSM 1227	culture_number
str15635	LMG 27648	culture_number
str15637	CCUG 56138	culture_number
str15638	ATCC 15482	culture_number
str15638	CCM 6041	culture_number
str15638	CCUG 33449	culture_number
str15638	CIP 56.12	culture_number
str15641	ATCC BAA-1198	culture_number
str15645	ATCC MYA-2613	culture_number
str15647	DSM 21297	culture_number
str15651	ATCC 25559	culture_number
str15651	CCUG 17323	culture_number
str15651	CIP 106637	culture_number
str15651	DSM 2243	culture_number
str15651	JCM 9979	culture_number
str15651	KCTC 3265	culture_number
str15651	NCAIM B.01418	culture_number
str15651	NCTC 11813	culture_number
str15651	VTT E-001735	culture_number
str15654	ATCC 35915	culture_number
str15662	ATCC 23492	culture_number
str15662	BCRC 11598	culture_number
str15662	CCRC 11598	culture_number
str15662	CCUG 33623	culture_number
str15662	CECT 692	culture_number
str15662	CIP 104421	culture_number
str15662	DSM 442	culture_number
str15662	IAM 12321	culture_number
str15662	JCM 2513	culture_number
str15662	KCTC 3117	culture_number
str15662	KCTC 3311	culture_number
str15662	LMD 86.41	culture_number
str15662	LMG 16675	culture_number
str15662	LMG 6329	culture_number
str15662	NBRC 102473	culture_number
str15662	NCCB 86041	culture_number
str15662	NCIB 10269	culture_number
str15662	NCIM 2464	culture_number
str15662	NCIMB 10269	culture_number
str15670	DSM 21153	culture_number
str15678	BCRC 11976	culture_number
str15678	CCRC 11976	culture_number
str15678	CCUG 26012	culture_number
str15678	CCUG 26013	culture_number
str15678	DSM 365	culture_number
str15678	LMG 6322	culture_number
str1568	DSM 27939	culture_number
str1568	JCM 17915	culture_number
str1568	KCTC 13619	culture_number
str1568	LMG 28476	culture_number
str15681	AS 2.1919	culture_number
str15681	ATCC 56463	culture_number
str15681	ATCC 56473	culture_number
str15681	ATCC 96303	culture_number
str15681	BCC 5383	culture_number
str15681	BCRC 21703	culture_number
str15681	CBS 166	culture_number
str15681	CBS 2677	culture_number
str15681	CCRC 21703	culture_number
str15681	CECT 10664	culture_number
str15681	CGMCC 2.1919	culture_number
str15681	DSM 70638	culture_number
str15681	FRR 4705	culture_number
str15681	IAM 14519	culture_number
str15681	IFO 0705	culture_number
str15681	IFO 1230	culture_number
str15681	JCM 1446	culture_number
str15681	JCM 1448	culture_number
str15681	KCTC 7283	culture_number
str15681	MUCL 27871	culture_number
str15681	MUCL 29921	culture_number
str15681	NBRC 0705	culture_number
str15681	NBRC 1230	culture_number
str15681	NCAIM Y.00492	culture_number
str15681	NCAIM Y.01269	culture_number
str15681	NCYC 2620	culture_number
str15681	NRRL Y-2024	culture_number
str15681	NRRL Y-2333	culture_number
str15681	VKM Y-1685	culture_number
str15681	VKM Y-1687	culture_number
str15681	VKM Y-746	culture_number
str15686	AS 2.1848	culture_number
str15686	ATCC 6260	culture_number
str15686	ATCC 7350	culture_number
str15686	BCC 5389	culture_number
str15686	CBS 566	culture_number
str15686	CCUG 38854	culture_number
str15686	CECT 1020	culture_number
str15686	CGMCC 2.1801	culture_number
str15686	CGMCC 2.1848	culture_number
str15686	CLIB 186	culture_number
str15686	DBVPG 6140	culture_number
str15686	DSM 6381	culture_number
str15686	IFO 10279	culture_number
str15686	JCM 1539	culture_number
str15686	KCTC 7144	culture_number
str15686	KCTC 7211	culture_number
str15686	KCTC 7684	culture_number
str15686	MUCL 29837	culture_number
